"","cy","cy2","country_name","year","v2jupoatck_lag2","v2jupoatck_lag1","v2jupoatck","v2juhccomp_lag2","v2juhccomp_lag1","v2juhccomp","v2jupurge_lag2","v2jupurge_lag1","v2jupurge","v2jupack_lag2","v2jupack_lag1","v2jupack","v2x_jucon_lag2","v2x_jucon_lag1","v2x_jucon","v2juhcind_lag2","v2juhcind_lag1","v2juhcind","v2xlg_legcon","v2x_divparctrl","v2x_polyarchy","v2x_regime","e_gdppc","e_regiongeo","e_regionpol","log_e_gdppc","region","POLCONIII_VDEM","polconiii","LJI","LJI_lag1","LJI_lag2","LJI_lag3","LJI_lead1","LJI_lead2","LJI_vdem","LJI_vdem_lag1","LJI_vdem_lag2","LJI_vdem_lag3","LJI_vdem_lead1","LJI_vdem_lead2","boix_democracy","boix_democracy_text","boix_democracy_omitteddata","boix_democracy_trans","boix_democracy_breakdowns","boix_democracy_duration","boix_democracy_duration_log","system","checks","frac","govfrac","numvote","gov1me","gov1vote","gov2me","gov2vote","gov3me","gov3vote","oppfrac","oppvote","opp1me","opp1vote","opp2me","opp2vote","opp3me","opp3vote","execme","percentl","execnat","allhouse","api_gov","popul_gov","conserv_gov","extremism_gov","seatshare_gov","seatshare_total","api_exec_party","popul_exec_party","conserv_exec_party","api_opp","popul_opp","conserv_opp","seatshare_opp","edi_high","regime_type","api_exec_gov","popul_exec_gov","conserv_exec_gov","api_model","popul_model","conserv_model"
"7294","TWN 2008","Taiwan 2008","Taiwan",2008,0.262,0,0.294,0.94,1.209,1.57,0.548,0.548,1.294,1.757,1.757,1.757,0.723,0.746,0.837,1.106,1.106,2.011,0.818,-1.21,0.796,3,88.461,12,6,4.48256177692071,"E. Asia",0.29,0.288046429,0.734,0.746,0.7592,0.7751,0.7198,0.7048,0.6318,0.6448,0.6539,0.6605,0.6238,0.619,1,"democracy",1,0,0,13,2.56494935746154,"Presidential",3,0.43204805,0.091596641,0,"KMT",NA,"NPSU",NA,"PFP",NA,0,0,"DPP",NA,NA,0,NA,0,"KMT",NA,1,1,0.199326,0.188571,0.1957,1.006668,71.7,95.6,0.278,0.263,1.404,0.020076,0.047083,0.023183,23.9,"high edi","Liberal democracy",0.238663,0.2257855,0.79985,0.238663,0.2257855,0.79985
"7298","TWN 2012","Taiwan 2012","Taiwan",2012,0.262,0.262,0.262,1.327,1.327,1.327,0.548,0.548,0.548,1.757,1.757,1.757,0.793,0.793,0.747,1.334,1.334,1.106,0.818,-1.074,0.806,3,95.078,12,6,4.55469760735279,"E. Asia",0.29,0.288046429,0.7943,0.8081,0.8152,0.8187,0.7751,0.7592,0.6652,0.6621,0.6605,0.6593,0.6605,0.6539,1,"democracy",1,0,0,17,2.83321334405622,"Presidential",3,0.55704802,0.13895993,0,"KMT",NA,"PFP",NA,"NPSU",NA,0.13289036,0,"DPP",NA,"TSU",NA,NA,0,"KMT",NA,1,1,0.18678,0.114332,-0.102054,0.794664,56.6,92,0.33,0.202,1.404,0.029736,0.07611,-0.080004,35.4,"high edi","Liberal democracy",0.25839,0.158166,0.650973,0.25839,0.158166,0.650973
"7505","THA 1983","Thailand 1983","Thailand",1983,0.255,0.255,0.255,1.802,1.802,1.802,1.489,1.489,1.489,-1.28,-1.28,-1.28,0.756,0.756,0.756,0.768,0.768,0.768,0.256,-1.223,0.323,1,9.785,13,7,2.28085060084804,"S.E. Asia",0,0.571944217,0.4133,0.4124,0.4281,0.4368,0.4055,0.3893,0.4629,0.4703,0.4793,0.4879,0.4547,0.445,1,"democracy",1,1,1,1,0,"Parliamentary",5,0.74981081,1.110223e-16,0,"Chart Thai",NA,NA,0,NA,0,0.68503875,0,"Social Action",NA,"DP",NA,"Prachakorn",NA,"independent",NA,0,1,0.194068,0.016443,-0.890851,0.583828,20.3,82.4,NA,NA,NA,0.261948,0.075004,0.585232,41.2,"low edi","Autocratic",NA,NA,NA,0.194068,0.016443,-0.890851
"7508","THA 1986","Thailand 1986","Thailand",1986,0.255,0.255,0.255,1.802,1.802,1.802,1.489,1.489,1.489,-1.28,-1.28,-1.28,0.756,0.756,0.756,0.768,0.768,0.768,0.282,-1.223,0.334,1,10.992,13,7,2.39716773547999,"S.E. Asia",0,0.543517345,0.4368,0.4389,0.4588,0.4942,0.4281,0.4124,0.4879,0.4956,0.5063,0.5188,0.4793,0.4703,1,"democracy",1,0,1,4,1.38629436111989,"Parliamentary",5,0.84114456,0.68909538,0,"DP",NA,"Chart Thai",NA,"Social Action",NA,0.81613272,0,"United Demo. Party",NA,"Prachakorn",NA,"United Thai",NA,"independent",NA,0,0,0.423806,0.118385,-0.49179,1.144417,61.7,91.7,NA,NA,NA,NA,NA,NA,NA,"low edi","Autocratic",NA,NA,NA,0.423806,0.118385,-0.49179
"7510","THA 1988","Thailand 1988","Thailand",1988,0.255,0.255,0.255,1.802,1.802,1.802,1.489,1.489,1.489,-1.28,-1.28,-1.28,0.756,0.756,0.756,0.768,0.768,0.768,0.465,-1.541,0.354,1,12.759,13,7,2.54623690493961,"S.E. Asia",0,0.559772119,0.4588,0.4942,0.5485,0.6183,0.4389,0.4368,0.5063,0.5188,0.5324,0.546,0.4956,0.4879,1,"democracy",1,0,1,6,1.79175946922805,"Parliamentary",6,0.87607408,0.7324754,61.599998,"Chart Thai",24.4,"Social Action",15.1,"DP",13.4,0.84646487,38.299999,"United Thai",9.8000002,"Prachakorn",8.6999998,"People",5.3000002,"Chart Thai",NA,0,0,0.407119,0.074486,0.664605,0.996209,52.9,91.3,0.94,0.047,2.421,0.275163,0.059809,0.502536,38.4,"low edi","Autocratic",0.6735595,0.060743,1.5428025,0.407119,0.074486,0.664605
"7514","THA 1992","Thailand 1992","Thailand",1992,0.255,0.255,0.255,1.802,1.802,1.802,1.8,1.8,1.8,-1.28,-1.28,-1.28,0.761,0.761,0.755,0.768,0.768,0.768,0.434,-1.2,0.275,1,17.601,13,7,2.86795571861183,"S.E. Asia",0,0,0.6948,0.7172,0.7164,0.7133,0.6183,0.5485,0.5581,0.5651,0.5697,0.5739,0.546,0.5324,1,"democracy",1,1,2,1,0,"Parliamentary",7,0.83881152,0.67890716,0,"DP",NA,"NAP",NA,"Righteous F.",NA,0.67481118,0,"Chart Thai",NA,"National Dev. P.",NA,"Social Action",NA,"DP",NA,0,0,0.100265,0.145594,-0.371969,0.478494,36.1,93.4,0.227,0.386,1.436,0.255587,0.026545,0.604165,27.5,"low edi","Autocratic",0.1636325,0.265797,0.5320155,0.100265,0.145594,-0.371969
"7518","THA 1996","Thailand 1996","Thailand",1996,-0.025,-0.025,0.255,1.802,1.802,1.802,1.8,1.8,1.8,-1.28,-1.28,-1.28,0.761,0.761,0.761,0.768,0.768,0.768,0.491,-1.586,0.406,1,21.89,13,7,3.08602991153477,"S.E. Asia",0.57,0.565658096,0.7097,0.706,0.701,0.6936,0.7133,0.7164,0.5767,0.5783,0.5788,0.5788,0.5739,0.5697,1,"democracy",1,0,2,5,1.6094379124341,"Parliamentary",6,0.7717635,0.60569489,0,"DP",NA,"Chart Thai",NA,"Social Action",NA,0.46580493,0,"NAP",NA,"Chart Pattana",NA,"Muan Chon",NA,"DP",NA,0,0,0.181247,0.106108,0.046686,0.763403,46.3,91.3,0.197,0.301,1.436,0.147552,0.089994,-0.36729,31.8,"low edi","Autocratic",0.1891235,0.203554,0.741343,0.181247,0.106108,0.046686
"7523","THA 2001","Thailand 2001","Thailand",2001,-0.311,-0.311,-0.025,1.802,1.802,1.802,1.8,1.8,1.8,-0.242,-0.242,-0.242,0.761,0.761,0.761,0.768,0.768,0.768,0.73,1.272,0.55,2,21.558,13,7,3.07074697735944,"S.E. Asia",0.71,0.513518604,0.6689,0.6504,0.6254,0.5991,0.6811,0.6936,0.5739,0.5701,0.565,0.5594,0.5769,0.5788,1,"democracy",1,0,2,10,2.30258509299405,"Parliamentary",4,0.67372346,0.4384982,52.899998,"TRT",40.599998,"Chart Thai",5.3000002,"NAP",7,0.33742237,32.700001,"DP",26.6,"Chart Pattana",6.0999999,"Social Action",NA,"TRT",NA,0,0,0.122732,0.341798,0.38696,0.807314,65,96.4,0.051,0.633,-1.148,0.075008,0.06912,0.367616,25.6,"low edi","Electoral democracy",0.086866,0.487399,-0.38052,0.122732,0.341798,0.38696
"7527","THA 2005","Thailand 2005","Thailand",2005,-0.445,-0.862,-0.311,1.802,1.802,1.802,1.803,0.518,1.8,-0.242,-0.242,-0.242,0.765,0.728,0.761,1.253,0.559,0.768,0.613,1.445,0.514,2,26.061,13,7,3.26043994394589,"S.E. Asia",0.66,0.438653862,0.5622,0.5042,0.4769,0.4593,0.5991,0.6254,0.5536,0.5472,0.5439,0.541,0.5594,0.565,1,"democracy",1,0,2,14,2.63905732961526,"Parliamentary",3,0.39288977,0,0,"TRT",NA,NA,0,NA,0,0.35212582,0,"DP",NA,"Chart Thai",NA,"Mahachon",NA,"TRT",NA,0,0,0.125918,0.513474,-0.373147,0.865592,75.4,100,0.167,0.681,-1.148,0.18372,0.069742,0.396762,24.2,"low edi","Electoral democracy",0.146459,0.597237,-0.7605735,0.125918,0.513474,-0.373147
"7627","UGA 1980","Uganda 1980","Uganda",1980,-2.19,-2.19,-2.19,-2.481,-2.481,-2.481,-2.685,-2.685,-2.685,-0.962,-2.158,-2.158,0.073,0.073,0.068,-1.576,-1.576,-1.576,0.417,-1.267,0.15,1,2.265,8,4,0.817574758934997,"Sub-S. Africa",0,0,0.2807,0.3687,0.3782,0.3176,0.1789,0.1095,0.0396,0.0521,0.0619,0.0683,0.0291,0.0248,1,"democracy",1,1,0,1,0,"Parliamentary",3,0.49763969,0,47.18,"UPC",47.18,NA,0,NA,0,0.03846154,51.139999,"Dem. Party",47.040001,"UPM",4.0999999,NA,0,"UPC",NA,0,1,0.568225,0.274295,0.188485,0.099365,59.5,99.2,0.955,0.461,-0.167,0.310454,0.268372,0.133789,39.7,"low edi","Autocratic",0.7616125,0.3676475,0.0107425,0.568225,0.274295,0.188485
