"","cy","cy2","country_name","year","v2jupoatck_lag2","v2jupoatck_lag1","v2jupoatck","v2juhccomp_lag2","v2juhccomp_lag1","v2juhccomp","v2jupurge_lag2","v2jupurge_lag1","v2jupurge","v2jupack_lag2","v2jupack_lag1","v2jupack","v2x_jucon_lag2","v2x_jucon_lag1","v2x_jucon","v2juhcind_lag2","v2juhcind_lag1","v2juhcind","v2xlg_legcon","v2x_divparctrl","v2x_polyarchy","v2x_regime","e_gdppc","e_regiongeo","e_regionpol","log_e_gdppc","region","POLCONIII_VDEM","polconiii","LJI","LJI_lag1","LJI_lag2","LJI_lag3","LJI_lead1","LJI_lead2","LJI_vdem","LJI_vdem_lag1","LJI_vdem_lag2","LJI_vdem_lag3","LJI_vdem_lead1","LJI_vdem_lead2","boix_democracy","boix_democracy_text","boix_democracy_omitteddata","boix_democracy_trans","boix_democracy_breakdowns","boix_democracy_duration","boix_democracy_duration_log","system","checks","frac","govfrac","numvote","gov1me","gov1vote","gov2me","gov2vote","gov3me","gov3vote","oppfrac","oppvote","opp1me","opp1vote","opp2me","opp2vote","opp3me","opp3vote","execme","percentl","execnat","allhouse","api_gov","popul_gov","conserv_gov","extremism_gov","seatshare_gov","seatshare_total","api_exec_party","popul_exec_party","conserv_exec_party","api_opp","popul_opp","conserv_opp","seatshare_opp","edi_high","regime_type","api_exec_gov","popul_exec_gov","conserv_exec_gov","api_model","popul_model","conserv_model"
"212","MEX 2000","Mexico 2000","Mexico",2000,1.904,1.904,1.904,1.37,1.37,1.37,1.108,1.108,1.108,1.495,1.495,1.495,0.731,0.731,0.731,0.98,0.98,0.98,0.76,-1.578,0.664,2,29.475,17,2,3.38354244642343,"Latin Am.",0.48,0.363912656,0.4406,0.4446,0.449,0.4517,0.4374,0.4326,0.4709,0.4744,0.4777,0.48,0.4672,0.4625,1,"democracy",1,1,0,1,0,"Presidential",5,0.64144552,0.12604533,36.880001,"PAN",36.880001,"PVEM",NA,NA,0,0.39578646,59.119999,"PRI",36.549999,"PRD",18.59,"PT",NA,"PAN",NA,0,0,0.053172,0.071318,-0.377336,0.951188,42.2,96.8,0.126,0.169,2.254,0.209898,0.178438,0.114218,54.6,"high edi","Electoral democracy",0.089586,0.120159,0.938332,0.089586,0.120159,0.938332
"215","MEX 2003","Mexico 2003","Mexico",2003,1.904,1.904,1.904,1.37,1.37,1.37,1.108,1.108,1.108,1.495,1.495,1.495,0.731,0.731,0.731,0.98,0.98,0.98,0.721,-1.578,0.699,2,29.941,17,2,3.39922877856731,"Latin Am.",0.41,0.405744876,0.4517,0.4528,0.453,0.4533,0.449,0.4446,0.48,0.4818,0.483,0.4838,0.4777,0.4744,1,"democracy",1,0,0,4,1.38629436111989,"Presidential",5,0.66949898,0.18106508,36.010002,"PAN",31.860001,"PVEM",4.1500001,NA,0,0.45719811,43.91,"PRI",23.209999,"PRD",18.219999,"PT",2.48,"PAN",NA,0,0,0.059602,0.051476,-0.305028,0.737358,34,97.8,0.152,0.154,2.254,0.23764,0.227596,-0.00264199999999992,63.8,"high edi","Electoral democracy",0.105801,0.102738,0.974486,0.105801,0.102738,0.974486
"218","MEX 2006","Mexico 2006","Mexico",2006,1.441,1.441,1.798,1.37,1.37,1.37,1.108,1.108,1.108,1.495,1.495,1.495,0.714,0.714,0.731,0.98,0.98,0.98,0.721,-1.568,0.671,2,31.873,17,2,3.461759256412,"Latin Am.",0.43,0.28574167,0.4533,0.4504,0.4468,0.445,0.453,0.4528,0.4838,0.4834,0.4829,0.4832,0.483,0.4818,1,"democracy",1,0,0,7,1.94591014905531,"Presidential",5,0.72146189,0,0,"PAN",NA,NA,0,NA,0,0.68348485,0,"PRD",NA,"PRI",NA,"PVEM",NA,"PAN",NA,0,0,0.11536,0.044908,-0.18504,0.828944,41.2,97.4,0.28,0.109,2.012,0.21163,0.253318,-0.217854,49.8,"high edi","Electoral democracy",0.19768,0.076954,0.91348,0.19768,0.076954,0.91348
"221","MEX 2009","Mexico 2009","Mexico",2009,0.59,0.59,0.981,1.211,1.211,1.37,1.108,1.108,1.108,1.495,1.495,1.495,0.739,0.739,0.714,1.209,1.209,0.98,0.721,-1.568,0.648,2,31.734,17,2,3.4573886613119,"Latin Am.",0.56,0.557563741,0.445,0.445,0.4467,0.4488,0.4468,0.4504,0.4832,0.4845,0.4863,0.4884,0.4829,0.4834,1,"democracy",1,0,0,10,2.30258509299405,"Presidential",5,0.67399585,0,0,"PAN",NA,NA,0,NA,0,0.52017951,0,"PRI",NA,"PRD",NA,"PVEM",NA,"PAN",NA,0,0,0.04576,0.031174,0.774181,0.535392,28.6,94.4,0.16,0.109,1.872,0.268346,0.199148,0.108914,65.8,"high edi","Electoral democracy",0.10288,0.070087,1.3230905,0.10288,0.070087,1.3230905
"224","MEX 2012","Mexico 2012","Mexico",2012,1.622,1.935,0.59,1.211,1.211,1.211,0.678,0.678,1.108,1.687,1.687,1.495,0.712,0.712,0.719,0.966,0.966,0.859,0.72,-1.478,0.649,2,33.482,17,2,3.51100798099359,"Latin Am.",0.54,0.400423861,0.4488,0.4502,0.4507,0.4503,0.4467,0.445,0.4884,0.49,0.491,0.4912,0.4863,0.4845,1,"democracy",1,0,0,13,2.56494935746154,"Presidential",5,0.70296699,0.21258645,0,"PRI",NA,"PVEM",NA,NA,0,0.59368092,0,"PAN",NA,"PRD",NA,"PT",NA,"PRI",NA,0,0,0.228978,0.042122,0.580282,0.512042,48.2,91.8,0.483,0.091,1.016,0.098696,0.201896,0.156116,43.6,"high edi","Electoral democracy",0.355989,0.066561,0.798141,0.355989,0.066561,0.798141
"549","SWE 1976","Sweden 1976","Sweden",1976,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,-0.42,0.908,3,55.919,2,5,4.0239042150761,"W. Europe, N. Am.",0.47,0.469096997,0.8585,0.8642,0.8702,0.8763,0.8536,0.8488,0.9224,0.9252,0.928,0.9309,0.9193,0.9164,1,"democracy",1,0,0,66,4.18965474202643,"Parliamentary",4,0.71193558,0.63494724,50.800003,"CP",24.1,"Moderate",15.6,"FP",11.1,0.18202311,47.400002,"Social Dem",42.700001,"Communist",4.6999998,NA,0,"CP",NA,0,0,0.015638,0.05641,0.535344,0.57213,51.6,95.2,0.03,0.115,0.495,0.01308,0.170476,-0.727684,43.6,"high edi","Liberal democracy",0.022819,0.085705,0.515172,0.015638,0.05641,0.535344
"552","SWE 1979","Sweden 1979","Sweden",1979,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,-0.404,0.909,3,57.861,2,5,4.05804358249577,"W. Europe, N. Am.",0.47,0.474647451,0.8763,0.8831,0.8904,0.8981,0.8702,0.8642,0.9309,0.9338,0.9369,0.9399,0.928,0.9252,1,"democracy",1,0,0,69,4.23410650459726,"Parliamentary",4,0.71481735,0.64880133,49,"Moderate",20.299999,"CP",18.1,"FP",10.6,0.20463757,48.799999,"Social Dem",43.200001,"Communist",5.5999999,NA,0,"CP",NA,0,0,0.015239,0.054009,-0.660726,0.655032,50.1,99.9,0.03,0.116,0.495,0.015054,0.206289,-0.927435,49.8,"high edi","Liberal democracy",0.0226195,0.0850045,-0.082863,0.015239,0.054009,-0.660726
"555","SWE 1982","Sweden 1982","Sweden",1982,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,0.193,0.91,3,60.132,2,5,4.09654214576559,"W. Europe, N. Am.",0.48,0.476568745,0.8981,0.9069,0.9152,0.9246,0.8904,0.8831,0.9399,0.9433,0.9467,0.9505,0.9369,0.9338,1,"democracy",1,0,0,72,4.27666611901606,"Parliamentary",3,0.69131273,0,45.599998,"Social Dem",45.599998,NA,0,NA,0,0.66402453,50.400002,"Moderate",23.6,"CP",15.4,"FP",5.9000001,"Social Dem",NA,0,0,0.01428,0.186116,-0.293838,0.794444,47.6,99.9,0.03,0.391,-1.669,0.01605,0.083498,0.497598,52.3,"high edi","Liberal democracy",0.02214,0.288558,-0.981419,0.01428,0.186116,-0.293838
"558","SWE 1985","Sweden 1985","Sweden",1985,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,0.617,0.909,3,64.85,2,5,4.17207691076245,"W. Europe, N. Am.",0.45,0.454918506,0.9246,0.9337,0.9416,0.95,0.9152,0.9069,0.9505,0.9548,0.9588,0.9622,0.9467,0.9433,1,"democracy",1,0,0,75,4.31748811353631,"Parliamentary",3,0.70753878,0.191773,50.07,"Social Dem",44.720001,"Communist",5.3499999,NA,0,0.65407634,49.43,"Moderate",21.309999,"FP",14.22,"CP",12.4,"Social Dem",NA,0,0,0.015408,0.210372,-0.11605,0.942396,51,99.7,0.03,0.391,-1.669,0.014828,0.05169,0.675451,48.7,"high edi","Liberal democracy",0.022704,0.300686,-0.892525,0.015408,0.210372,-0.11605
"561","SWE 1988","Sweden 1988","Sweden",1988,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,0.617,0.908,3,69.754,2,5,4.24497476672741,"W. Europe, N. Am.",0.47,0.471244016,0.95,0.9567,0.9602,0.9633,0.9416,0.9337,0.9622,0.965,0.9671,0.9688,0.9588,0.9548,1,"democracy",1,0,0,78,4.35670882668959,"Parliamentary",3,0.7292428,0.21032357,49,"Social Dem",43.200001,"Communist",5.8000002,NA,0,0.71834624,47.299999,"Moderate",18.299999,"FP",12.2,"CP",11.3,"Social Dem",NA,0,0,0.01533,0.210417,-0.340288,0.829962,50.7,99.9,0.03,0.391,-1.406,0.013239,0.04668,0.59175,43.5,"high edi","Liberal democracy",0.022665,0.3007085,-0.873144,0.01533,0.210417,-0.340288
"564","SWE 1991","Sweden 1991","Sweden",1991,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,-0.381,0.912,3,70.899,2,5,4.26125632906626,"W. Europe, N. Am.",0.49,0.486186194,0.9633,0.9667,0.9693,0.9709,0.9602,0.9567,0.9688,0.9706,0.972,0.9736,0.9671,0.965,1,"democracy",1,0,0,81,4.39444915467244,"Parliamentary",6,0.76367623,0.68827009,46.599998,"Moderate",21.9,"FP",9.1000004,"CP",8.5,0.38026488,48.900002,"Social Dem",37.700001,"New Democracy",6.6999998,"Left",4.5,"Moderate",NA,0,0,0.012619,0.043674,0.176256,0.718337,41.3,95.4,0.031,0.1,2.613,0.01875,0.232879,-0.102648,54.1,"high edi","Liberal democracy",0.0218095,0.071837,1.394628,0.012619,0.043674,0.176256
"567","SWE 1994","Sweden 1994","Sweden",1994,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,0.174,0.912,3,70.978,2,5,4.26236996987012,"W. Europe, N. Am.",0.51,0.509142912,0.9709,0.9725,0.973,0.9735,0.9693,0.9667,0.9736,0.9752,0.9764,0.9779,0.972,0.9706,1,"democracy",1,0,0,84,4.43081679884331,"Parliamentary",3,0.71688133,0,45.25,"Social Dem",45.25,NA,0,NA,0,0.75465542,52.470001,"Moderate",22.379999,"CP",7.6500001,"FP",7.1900001,"Social Dem",NA,0,0,0.01383,0.159967,0.132388,0.46561,46.1,95.6,0.03,0.347,-1.01,0.015016,0.095687,0.592852,49.5,"high edi","Liberal democracy",0.021915,0.2534835,-0.438806,0.01383,0.159967,0.132388
"571","SWE 1998","Sweden 1998","Sweden",1998,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,0.078,0.912,3,79.442,2,5,4.37502719565364,"W. Europe, N. Am.",0.48,0.476195465,0.9724,0.9728,0.9744,0.9751,0.9735,0.973,0.9796,0.9815,0.9837,0.9849,0.9779,0.9764,1,"democracy",1,0,0,88,4.47733681447821,"Parliamentary",4,0.76930803,0.46878308,52.900002,"Social Dem",36.400002,"Left",12,"Green",4.5,0.64405698,44.5,"Moderate",22.9,"Christian Democratic",11.8,"CP",5.0999999,"Social Dem",NA,0,0,0.016197,0.217646,-0.022248,0.622544,54.4,95.1,0.03,0.347,-0.996,0.012565,0.044052,0.818536,40.7,"high edi","Liberal democracy",0.0230985,0.282323,-0.509124,0.016197,0.217646,-0.022248
"575","SWE 2002","Sweden 2002","Sweden",2002,2.181,2.181,2.181,2.385,2.385,2.385,1.858,1.858,1.858,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.971,0.078,0.91,3,88.98,2,5,4.4884116253779,"W. Europe, N. Am.",0.51,0.51289767,0.9762,0.9751,0.9734,0.9722,0.9751,0.9744,0.9858,0.9862,0.9864,0.9866,0.9849,0.9837,1,"democracy",1,0,0,92,4.52178857704904,"Parliamentary",4,0.76552051,0.40110224,52.889999,"Social Dem",39.849998,"Left",8.3900003,"Green",4.6500001,0.72813028,43.990002,"Moderate",15.26,"Liberal",13.39,"Kd",9.1499996,"Social Dem",NA,0,0,0.016354,0.209842,0.014649,0.591723,54.8,100.2,0.03,0.347,-0.996,0.007843,0.03138,0.553775,25.3,"high edi","Liberal democracy",0.023177,0.278421,-0.4906755,0.016354,0.209842,0.014649
"579","SWE 2006","Sweden 2006","Sweden",2006,2.181,2.181,2.181,2.385,2.385,2.385,2.336,2.336,2.336,1.938,1.938,1.938,0.973,0.973,0.973,2.893,2.893,2.893,0.969,0.076,0.911,3,98.394,2,5,4.58897982658936,"W. Europe, N. Am.",0.51,0.507474131,0.9707,0.9685,0.9671,0.9652,0.9722,0.9734,0.9866,0.9868,0.9865,0.9861,0.9866,0.9864,1,"democracy",1,0,0,96,4.56434819146784,"Parliamentary",5,0.76117313,0.63714844,48.239998,"Moderate",26.23,"CP",7.8800001,"FP",7.54,0.39545923,46.080002,"Social Dem",34.990002,"Left",5.8499999,"Green",5.2399998,"Moderate",NA,0,0,0.011108,0.040486,-0.165052,0.699074,36.1,99.9,0.031,0.111,2.277,0.019226,0.203688,-0.311919,63.8,"high edi","Liberal democracy",0.021054,0.075743,1.055974,0.011108,0.040486,-0.165052
"583","SWE 2010","Sweden 2010","Sweden",2010,2.181,2.181,2.181,2.385,2.385,2.385,2.107,1.66,1.987,1.938,1.938,1.938,0.978,0.973,0.973,2.893,2.893,2.893,0.974,0.076,0.915,3,100.824,2,5,4.61337642253519,"W. Europe, N. Am.",0.51,0.507474131,0.9641,0.9622,0.961,0.9586,0.9652,0.9671,0.9857,0.9852,0.9842,0.9831,0.9861,0.9865,1,"democracy",1,0,0,100,4.60517018598809,"Parliamentary",6,0.78183979,0.57178384,49.279999,"Moderate",30.059999,"FP",7.0599999,"CP",6.5599999,0.55344158,49.299999,"Social Dem",30.66,"Green",7.3400002,"SD",5.6999998,"Moderate",NA,0,0,0.013128,0.049392,-0.38318,0.832305,44.2,100,0.03,0.111,2.277,0.02007,0.224283,-0.266937,55.8,"high edi","Liberal democracy",0.021564,0.080196,0.94691,0.013128,0.049392,-0.38318
"587","SWE 2014","Sweden 2014","Sweden",2014,2.675,2.675,2.675,2.385,2.385,2.385,2.368,2.368,2.278,1.938,1.938,1.938,0.974,0.974,0.978,2.893,2.893,2.893,0.975,0.217,0.916,3,102.222,2,5,4.62714691879146,"W. Europe, N. Am.",0.52,0.521252554,0.956,0.9525,NA,NA,0.9586,0.961,0.9819,0.9799,NA,NA,0.9831,0.9842,1,"democracy",1,0,0,104,4.64439089914137,"Parliamentary",4,0.80213308,0.29884693,37.900002,"Social Dem",31.01,"Green",6.8899999,NA,0,0.75681937,58.009998,"Moderate",23.33,"Sd",12.86,"CP",6.1100001,"Social Dem",NA,0,0,0.011556,0.135252,0,0.349416,39.6,95.4,0.029,0.347,-0.996,0.022294,0.155019,0.810725,44.4,"high edi","Liberal democracy",0.020278,0.241126,-0.498,0.011556,0.135252,0
"775","CHE 1975","Switzerland 1975","Switzerland",1975,2.027,2.027,2.027,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.884,0.323,0.861,3,61.861,1,5,4.12488993266134,"W. Europe, N. Am.",0.44,0.435760664,0.8575,0.8663,0.8748,0.8835,0.8492,0.8411,0.9951,0.995,0.9949,0.9948,0.9953,0.9954,1,"democracy",1,0,0,128,4.85203026391962,"Parliamentary",3,0.80517417,0.73154408,78.099998,"Social Dem",24.9,"Radical Dem",22.200001,"Chr. Dem",21.1,0.78830647,24.6,"independent Alliance",6.0999999,"Republican",3,"Liberal Dem.",2.4000001,NA,NA,0,0,0.073005,0.179985,-0.948216,1.282695,74,90,0.082,0.559,-2.36,0.021995,0.063975,0.101255,16,"high edi","Liberal democracy",0.0775025,0.3694925,-1.654108,0.073005,0.179985,-0.948216
"779","CHE 1979","Switzerland 1979","Switzerland",1979,2.027,2.027,2.027,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.884,0.323,0.867,3,66.528,1,5,4.1976229116756,"W. Europe, N. Am.",0.43,0.43202775,0.8929,0.904,0.9158,0.9274,0.8835,0.8748,0.9949,0.995,0.9951,0.9952,0.9948,0.9949,1,"democracy",1,0,0,132,4.88280192258637,"Parliamentary",3,0.8083418,0.73591155,81.5,"Social Dem",24.9,"Radical Dem",24,"Chr. Dem",21.1,0.86021507,18.5,"independent Alliance",4.1999998,"Liberal Dem",2.8,"Labour",2.0999999,NA,NA,0,0,0.072465,0.169295,-0.184266,1.279105,73,84.5,0.082,0.559,-2.36,0.01909,0.046575,0.12903,11.5,"high edi","Liberal democracy",0.0772325,0.3641475,-1.272133,0.072465,0.169295,-0.184266
"783","CHE 1983","Switzerland 1983","Switzerland",1983,2.027,2.027,2.027,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.894,0.323,0.871,3,70.961,1,5,4.26213043034848,"W. Europe, N. Am.",0.43,0.428437356,0.9382,0.9478,0.9567,0.9628,0.9274,0.9158,0.9953,0.9954,0.9956,0.9958,0.9952,0.9951,1,"democracy",1,0,0,136,4.91265488573605,"Parliamentary",3,0.81394976,0.73523182,77.5,"Radical Dem",23.4,"Social Dem",22.799999,"Chr. Dem",20.200001,0.86381465,18.300001,"independent Alliance",4,"Liberal Dem",2.8,"National Action",3.4000001,NA,NA,0,0,0.07138,0.158335,-0.016531,1.26374,71.5,83,0.109,0.054,2.355,0.01909,0.046575,0.188485,11.5,"high edi","Liberal democracy",0.09019,0.1061675,1.1692345,0.07138,0.158335,-0.016531
"787","CHE 1987","Switzerland 1987","Switzerland",1987,2.027,2.027,2.027,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.894,0.323,0.871,3,77.731,1,5,4.35325414820505,"W. Europe, N. Am.",0.43,0.434146773,0.9675,0.9707,0.9724,0.9738,0.9628,0.9567,0.996,0.9961,0.9962,0.9963,0.9958,0.9956,1,"democracy",1,0,0,140,4.9416424226093,"Parliamentary",3,0.84318107,0.74078494,72.599998,"Radical Dem",22.9,"Chr. Dem",19.700001,"Social Dem",19,0.92239743,24.5,"Liberal Party",2.7,"Greens",5.1999998,"independent",0.80000001,NA,NA,0,0,0.067285,0.140755,-0.59843,1.157615,67,79.5,0.109,0.054,2.355,0.02075,0.05475,0.204875,12.5,"high edi","Liberal democracy",0.0881425,0.0973775,0.878285,0.067285,0.140755,-0.59843
"791","CHE 1991","Switzerland 1991","Switzerland",1991,2.027,2.027,2.027,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.894,0.323,0.886,3,82.296,1,5,4.41032250382873,"W. Europe, N. Am.",0.44,0.440880441,0.9751,0.9756,0.9757,0.9766,0.9738,0.9724,0.9962,0.9963,0.9964,0.9966,0.9963,0.9962,1,"democracy",1,0,0,144,4.969813299576,"Parliamentary",3,0.84763819,0.74469441,70.199997,"Radical Dem",21,"Social Dem",19.1,"Chr. Dem",18.200001,0.82980394,11.9,"Greens",7,"Liberal Party",3,"independent/Evangel.",1.9,NA,NA,0,0,0.05969,0.1368,0.2613,1.062975,60,83.5,0.109,0.054,2.355,0.04784,0.17092,0.23483,23.5,"high edi","Liberal democracy",0.084345,0.0954,1.30815,0.05969,0.1368,0.2613
"795","CHE 1995","Switzerland 1995","Switzerland",1995,2.027,2.027,2.027,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.909,0.323,0.884,3,83.553,1,5,4.4254811610395,"W. Europe, N. Am.",0.46,0.626577128,0.9772,0.977,0.9765,0.976,0.9766,0.9757,0.9968,0.9969,0.9969,0.9969,0.9966,0.9964,1,"democracy",1,0,0,148,4.99721227376411,"Parliamentary",4,0.83902276,0.73538661,73.900002,"Social Dem",21.799999,"Radical Dem",20.200001,"Chr. Dem",17,0.82980394,9.5,"Greens",5,"Liberal Party",2.7,"independent/Evangel.",1.8,NA,NA,0,0,0.065025,0.17311,0.18785,1.226405,66.5,85,0.082,0.559,-2.36,0.0417,0.14747,0.21752,18.5,"high edi","Liberal democracy",0.0735125,0.366055,-1.086075,0.065025,0.17311,0.18785
"799","CHE 1999","Switzerland 1999","Switzerland",1999,2.027,2.027,2.027,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.909,0.323,0.889,3,88.969,1,5,4.48828799444978,"W. Europe, N. Am.",0.44,0.442049845,0.9761,0.9767,0.9753,0.9751,0.976,0.9765,0.9968,0.9967,0.9966,0.9964,0.9969,0.9969,1,"democracy",1,0,0,152,5.02388052084628,"Parliamentary",3,0.79668558,0.74801737,58.189999,"Social Dem",22.48,"Radical Dem",19.93,"Chr. Dem",15.78,0.71052635,10.04,"Greens",5.02,"Liberal Party",2.25,"independent/Evangel.",1.8200001,NA,NA,0,0,0.063245,0.16448,0.194877,1.1692,64.5,90.5,0.082,0.559,-2.36,0.00168,0.01668,-0.09452,4,"high edi","Liberal democracy",0.0726225,0.36174,-1.0825615,0.063245,0.16448,0.194877
"803","CHE 2003","Switzerland 2003","Switzerland",2003,2.027,2.027,2.027,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.926,0.323,0.889,3,97.877,1,5,4.58371158832952,"W. Europe, N. Am.",0.44,0.437743791,0.9753,0.975,0.9731,0.9699,0.9751,0.9753,0.9965,0.9965,0.9964,0.9962,0.9964,0.9966,1,"democracy",1,0,0,156,5.04985600724954,"Parliamentary",3,0.76001042,0.66108537,66.940002,"Swiss People",26.73,"Social Dem",23.09,"Radical Dem",17.120001,0.78254747,16.220001,"Greens",7.3200002,"Liberal Party",2.1600001,"Evangel.",2.28,NA,NA,0,0,0.11684,0.40311,-0.23947,1.948025,71.5,92,0.276,0.902,3.311,0.01785,0.035365,-0.104735,20.5,"high edi","Liberal democracy",0.19642,0.652555,1.535765,0.11684,0.40311,-0.23947
"807","CHE 2007","Switzerland 2007","Switzerland",2007,2.027,2.027,2.027,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.926,0.323,0.89,3,108.399,1,5,4.68581886387074,"W. Europe, N. Am.",0.42,0.421930328,0.9681,0.9664,0.9639,0.9617,0.9699,0.9731,0.996,0.9959,0.9957,0.9954,0.9962,0.9964,1,"democracy",1,0,0,160,5.07517381523383,"Parliamentary",3,0.80283427,0.73133254,0,"Swiss People",NA,"Social Dem",NA,"Radical Dem",NA,0.6219697,0,"Greens",NA,"Liberal Party",NA,"Green Liberal",NA,NA,NA,0,0,0.120085,0.421195,0.005082,1.898835,68,93.5,0.276,0.944,3.311,0.0042,0.0417,-0.2363,10,"high edi","Liberal democracy",0.1980425,0.6825975,1.658041,0.120085,0.421195,0.005082
"811","CHE 2011","Switzerland 2011","Switzerland",2011,2.025,1.748,1.748,2.963,2.963,2.963,2.13,2.13,2.13,1.738,1.738,1.738,0.987,0.987,0.987,2.866,2.866,2.866,0.926,0.323,0.898,3,113.22,1,5,4.72933282860851,"W. Europe, N. Am.",0.41,0.409628044,0.9596,0.9563,0.9536,0.9513,0.9617,0.9639,0.9951,0.9947,0.9945,0.9943,0.9954,0.9957,1,"democracy",1,0,0,164,5.0998664278242,"Parliamentary",3,0.82474869,0.73562849,72.68,"Swiss People",26.559999,"Social Dem",18.719999,"Radical Dem",15.1,0.75783968,22.73,"Greens",8.4300003,"Liberal Party",5.3800001,"BDP/PBD",5.4200001,NA,NA,0,0,0.10973,0.39155,-0.074438,1.79002,65,97,0.276,0.944,3.311,0.028365,0.06556,-0.021355,32,"high edi","Liberal democracy",0.192865,0.667775,1.618281,0.10973,0.39155,-0.074438
"902","GHA 1979","Ghana 1979","Ghana",1979,0.007,0.007,0.007,1.052,1.052,1.42,0.778,0.778,0.778,1.122,1.122,1.122,0.813,0.813,0.741,2.284,2.284,1.032,0.451,0.087,0.307,1,4.957,6,4,1.60080071903844,"Sub-S. Africa",0,0,0.1458,0.1593,0.1413,0.1241,0.1143,0.0889,0.3349,0.3601,0.3333,0.2755,0.2701,0.2263,1,"democracy",1,1,1,1,0,"Presidential",3,0.64316547,0.26477337,53.949997,"PNP",36.439999,"UNC",17.51,NA,0,0.40974027,44.25,"PFP",30.6,"ACP",8.8400002,"SDF",3.9000001,"PNP",61.97739,0,1,0.146769,0.303906,0.0893,0.523611,60,97.1,0.255,0.531,-1.008,0.101172,0.112527,0.246052,37.1,"low edi","Autocratic",0.2008845,0.417453,-0.45935,0.2008845,0.417453,-0.45935
"923","GHA 2000","Ghana 2000","Ghana",2000,0.776,0.776,0.776,1.958,1.958,1.958,1.996,1.996,1.996,0.511,-0.613,0.278,0.843,0.843,0.843,1.699,1.699,1.699,0.898,1.634,0.671,2,5.555,6,4,1.71469842309159,"Sub-S. Africa",0.32,0.317302296,0.3848,0.4099,0.427,0.4353,0.367,0.3541,0.5189,0.5339,0.5453,0.5497,0.5066,0.4961,1,"democracy",1,0,2,4,1.38629436111989,"Presidential",3,0.5404523,0.075242721,49.73,"NPP",44.98,"PNC",3.4400001,"CPP",1.3099999,0,41.209999,"NDC",41.209999,NA,0,NA,0,"NPP",56.900002,0,1,0.0905,0.1365,0,0.4185,50,96,0.181,0.273,0.837,0.08418,0.29716,-0.44712,46,"high edi","Electoral democracy",0.13575,0.20475,0.4185,0.13575,0.20475,0.4185
"927","GHA 2004","Ghana 2004","Ghana",2004,0.776,0.776,0.776,1.958,1.958,1.958,1.996,1.996,1.996,0.812,0.295,0.295,0.843,0.843,0.843,1.699,1.699,1.699,0.898,1.634,0.744,3,6.054,6,4,1.80071921059953,"Sub-S. Africa",0.36,0.360319523,0.4382,0.4396,0.4426,0.4475,0.4353,0.427,0.5486,0.5438,0.5369,0.5292,0.5497,0.5453,1,"democracy",1,0,2,8,2.07944154167984,"Presidential",3,0.52504277,0.045096889,56.899998,"NPP",55.599998,"CPP",1.3,NA,0,0.079107933,42.600002,"NDC",40.900002,"PNC",1.7,NA,0,"NPP",NA,0,1,0.145377,0.152061,0.103472,0.426105,55.7,96.6,0.261,0.273,0.765,0.074847,0.264214,-0.397548,40.9,"high edi","Liberal democracy",0.2031885,0.2125305,0.434236,0.2031885,0.2125305,0.434236
